year,host_country,stage_reached,stage_rank,notes
1930,Uruguay,Champion,1,Won the first-ever World Cup final vs Argentina 4-2
1934,Italy,Champion,1,Won the final vs Czechoslovakia in extra time
1938,France,Quarterfinal,5,Lost to eventual champion Italy 1-3
1950,Brazil,Runner-up,2,Lost the deciding final-round match to Uruguay (Maracanazo)
1954,Switzerland,Quarterfinal,5,Lost a 12-goal thriller to Austria 5-7
1958,Sweden,Runner-up,2,Lost the final to Brazil 2-5
1962,Chile,Third Place,3,Beat Yugoslavia 1-0 in the third place match
1966,England,Champion,1,Won the final vs West Germany 4-2 (AET)
1970,Mexico,Quarterfinal,5,Lost to Italy 1-4
1974,West Germany,Champion,1,Won the final vs Netherlands 2-1
1978,Argentina,Champion,1,Won the final vs Netherlands 3-1 (AET)
1982,Spain,Quarterfinal,5,Eliminated in the second group round (pre-1986 format had no single-match Round of 16)
1986,Mexico,Quarterfinal,5,Lost to West Germany on penalties
1990,Italy,Third Place,3,Beat England in the third place match
1994,USA,Round of 16,6,Lost to eventual champion Brazil 0-1
1998,France,Champion,1,Won the final vs Brazil 3-0
2002,South Korea,Fourth Place,4,"Lost the semifinal to Germany, then the third place match to Turkey"
2002,Japan,Round of 16,6,Lost to Turkey 0-1
2006,Germany,Third Place,3,Beat Portugal in the third place match
2010,South Africa,Group Stage,7,Did not advance past the group stage
2014,Brazil,Fourth Place,4,"Lost the semifinal to Germany 1-7, then the third place match to Netherlands"
2018,Russia,Quarterfinal,5,Lost to Croatia on penalties
2022,Qatar,Group Stage,7,Did not advance past the group stage
2026,Canada,Round of 16,6,Lost to Morocco 0-3
2026,USA,Round of 16,6,Lost to Belgium 1-4
2026,Mexico,Round of 16,6,Lost to England 2-3 at the Estadio Azteca
