year,host_country,num_hosts,num_teams,champion,runner_up,third_place,fourth_place,status
1930,Uruguay,1,13,Uruguay,Argentina,USA,Yugoslavia,Completed
1934,Italy,1,16,Italy,Czechoslovakia,Germany,Austria,Completed
1938,France,1,15,Italy,Hungary,Brazil,Sweden,Completed
1950,Brazil,1,13,Uruguay,Brazil,Sweden,Spain,Completed
1954,Switzerland,1,16,West Germany,Hungary,Austria,Uruguay,Completed
1958,Sweden,1,16,Brazil,Sweden,France,West Germany,Completed
1962,Chile,1,16,Brazil,Czechoslovakia,Chile,Yugoslavia,Completed
1966,England,1,16,England,West Germany,Portugal,Soviet Union,Completed
1970,Mexico,1,16,Brazil,Italy,West Germany,Uruguay,Completed
1974,West Germany,1,16,West Germany,Netherlands,Poland,Brazil,Completed
1978,Argentina,1,16,Argentina,Netherlands,Brazil,Italy,Completed
1982,Spain,1,24,Italy,West Germany,Poland,France,Completed
1986,Mexico,1,24,Argentina,West Germany,France,Belgium,Completed
1990,Italy,1,24,West Germany,Argentina,Italy,England,Completed
1994,USA,1,24,Brazil,Italy,Sweden,Bulgaria,Completed
1998,France,1,32,France,Brazil,Croatia,Netherlands,Completed
2002,South Korea/Japan,2,32,Brazil,Germany,Turkey,South Korea,Completed
2006,Germany,1,32,Italy,France,Germany,Portugal,Completed
2010,South Africa,1,32,Spain,Netherlands,Germany,Uruguay,Completed
2014,Brazil,1,32,Germany,Argentina,Netherlands,Brazil,Completed
2018,Russia,1,32,France,Croatia,Belgium,England,Completed
2022,Qatar,1,32,Argentina,France,Croatia,Morocco,Completed
2026,USA/Canada/Mexico,3,48,TBD,TBD,TBD,TBD,In Progress
